Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
10/17/1984,0,0.122684586,0.119455427,0.119455427,9868800,0,0
10/18/1984,0,0.129141281,0.122684635,0.122684635,5324800,0,0
10/19/1984,0,0.122684586,0.119455427,0.119455427,3043200,0,0
10/22/1984,0,0.122684586,0.119455427,0.119455427,2326400,0,0
10/23/1984,0,0.119455511,0.116227187,0.116227187,787200,0,0
10/24/1984,0,0.122684586,0.119455427,0.119455427,230400,0,0
10/25/1984,0,0.122684672,0.116227187,0.116227187,1587200,0,0
10/26/1984,0,0.119455511,0.116227187,0.116227187,758400,0,0
10/29/1984,0,0.119455511,0.116227187,0.116227187,614400,0,0
10/30/1984,0,0.122684672,0.116227187,0.116227187,192000,0,0
10/31/1984,0,0.122684586,0.119455427,0.119455427,297600,0,0
11/1/1984,0,0.119455511,0.116227187,0.116227187,352000,0,0
11/2/1984,0,0.119455511,0.116227187,0.116227187,1638400,0,0
11/5/1984,0,0.116227143,0.112998821,0.112998821,534400,0,0
11/6/1984,0,0.116227143,0.112998821,0.112998821,544000,0,0
11/7/1984,0,0.116227143,0.112998821,0.112998821,76800,0,0
11/8/1984,0,0.116227143,0.112998821,0.112998821,44800,0,0
11/9/1984,0,0.116227143,0.112998821,0.112998821,896000,0,0
11/12/1984,0,0.116227143,0.112998821,0.112998821,300800,0,0
11/13/1984,0,0.116227143,0.112998821,0.112998821,464000,0,0
11/14/1984,0,0.116227144,0.109770499,0.109770499,1523200,0,0
11/15/1984,0,0.112998822,0.109770499,0.109770499,156800,0,0
11/16/1984,0,0.112998794,0.103312992,0.103312992,579200,0,0
11/19/1984,0,0.112998794,0.103312992,0.103312992,358400,0,0
11/20/1984,0,0.106541337,0.100084692,0.100084692,179200,0,0
11/21/1984,0,0.106541337,0.100084692,0.100084692,905600,0,0
11/23/1984,0,0.106541337,0.100084692,0.100084692,25600,0,0
11/26/1984,0,0.106541313,0.103312992,0.103312992,166400,0,0
11/27/1984,0,0.10977048,0.106541321,0.106541321,147200,0,0
11/28/1984,0,0.10977048,0.106541321,0.106541321,492800,0,0
11/29/1984,0,0.10977048,0.106541321,0.106541321,262400,0,0
11/30/1984,0,0.10977048,0.106541321,0.106541321,556800,0,0
12/3/1984,0,0.109770472,0.103312992,0.103312992,380800,0,0
12/4/1984,0,0.106541337,0.100084692,0.100084692,217600,0,0
12/5/1984,0,0.106541337,0.100084692,0.100084692,102400,0,0
12/6/1984,0,0.103313038,0.096856385,0.096856385,630400,0,0
12/7/1984,0,0.100084715,0.096856385,0.096856385,86400,0,0
12/10/1984,0,0.100084715,0.096856385,0.096856385,2099200,0,0
12/11/1984,0,0.100084715,0.096856385,0.096856385,188800,0,0
12/12/1984,0,0.100084715,0.096856385,0.096856385,393600,0,0
12/13/1984,0,0.100084715,0.096856385,0.096856385,102400,0,0
12/14/1984,0,0.100084715,0.096856385,0.096856385,89600,0,0
12/17/1984,0,0.100084715,0.096856385,0.096856385,102400,0,0
12/18/1984,0,0.100084715,0.096856385,0.096856385,214400,0,0
12/19/1984,0,0.100084715,0.096856385,0.096856385,102400,0,0
12/20/1984,0,0.100084715,0.096856385,0.096856385,121600,0,0
12/21/1984,0,0.100084715,0.096856385,0.096856385,704000,0,0
12/24/1984,0,0.100084715,0.096856385,0.096856385,921600,0,0
12/26/1984,0,0.100084715,0.096856385,0.096856385,521600,0,0
12/27/1984,0,0.103313038,0.096856385,0.096856385,947200,0,0
